time               total        used        free      shared  buff/cache   available
2023-07-31 21:19:58  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:20:01  Mem:           125G         51G         31G        1.1M         41G         72G
2023-07-31 21:20:04  Mem:           125G         51G         31G        1.1M         42G         72G
2023-07-31 21:20:08  Mem:           125G         51G         31G        1.1M         42G         72G
2023-07-31 21:20:11  Mem:           125G         51G         31G        1.1M         42G         72G
2023-07-31 21:20:14  Mem:           125G         51G         31G        1.1M         42G         72G
2023-07-31 21:20:17  Mem:           125G         52G         30G        1.1M         42G         72G
2023-07-31 21:20:20  Mem:           125G         52G         30G        1.1M         42G         72G
2023-07-31 21:20:23  Mem:           125G         52G         30G        1.1M         42G         72G
2023-07-31 21:20:26  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:29  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:32  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:35  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:38  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:41  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:44  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:47  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:50  Mem:           125G         52G         30G        1.1M         42G         71G
2023-07-31 21:20:53  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:20:56  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:20:59  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:02  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:05  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:08  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:11  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:14  Mem:           125G         52G         29G        1.1M         42G         71G
2023-07-31 21:21:17  Mem:           125G         53G         29G        1.1M         42G         71G
2023-07-31 21:21:20  Mem:           125G         53G         29G        1.1M         42G         71G
2023-07-31 21:21:23  Mem:           125G         53G         29G        1.1M         42G         71G
2023-07-31 21:21:26  Mem:           125G         53G         29G        1.1M         42G         71G
2023-07-31 21:21:29  Mem:           125G         53G         28G        1.1M         43G         71G
2023-07-31 21:21:32  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:35  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:38  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:41  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:44  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:47  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:50  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:53  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:56  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:21:59  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:22:02  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:22:05  Mem:           125G         53G         28G        1.1M         43G         70G
2023-07-31 21:22:08  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:11  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:14  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:17  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:20  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:23  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:26  Mem:           125G         53G         27G        1.1M         43G         70G
2023-07-31 21:22:29  Mem:           125G         54G         27G        1.1M         43G         70G
2023-07-31 21:22:32  Mem:           125G         54G         27G        1.1M         43G         70G
2023-07-31 21:22:35  Mem:           125G         54G         27G        1.1M         43G         70G
2023-07-31 21:22:38  Mem:           125G         54G         27G        1.1M         43G         70G
2023-07-31 21:22:41  Mem:           125G         54G         27G        1.1M         43G         69G
2023-07-31 21:22:44  Mem:           125G         54G         27G        1.1M         43G         69G
2023-07-31 21:22:47  Mem:           125G         54G         26G        1.1M         43G         69G
2023-07-31 21:22:50  Mem:           125G         54G         26G        1.1M         43G         69G
2023-07-31 21:22:53  Mem:           125G         54G         26G        1.1M         43G         69G
2023-07-31 21:22:56  Mem:           125G         54G         26G        1.1M         43G         69G
2023-07-31 21:22:59  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:02  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:05  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:08  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:11  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:14  Mem:           125G         54G         26G        1.1M         44G         69G
2023-07-31 21:23:17  Mem:           125G         54G         26G        1.1M         44G         69G
