time               total        used        free      shared  buff/cache   available
2023-07-29 14:33:54  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:33:58  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:34:01  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:34:04  Mem:           125G         16G        104G        1.1M        4.1G        107G
2023-07-29 14:34:07  Mem:           125G         16G        104G        1.1M        4.2G        107G
2023-07-29 14:34:45  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:34:48  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:34:51  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:34:54  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:34:58  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:35:01  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:35:04  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:35:07  Mem:           125G         17G        103G        1.1M        4.3G        107G
2023-07-29 14:35:10  Mem:           125G         17G        103G        1.1M        4.4G        107G
2023-07-29 14:35:13  Mem:           125G         17G        103G        1.1M        4.4G        107G
2023-07-29 14:35:17  Mem:           125G         17G        103G        1.1M        4.4G        107G
2023-07-29 14:35:20  Mem:           125G         17G        103G        1.1M        4.4G        107G
2023-07-29 14:35:28  Mem:           125G         17G        103G        1.1M        4.4G        106G
2023-07-29 14:35:31  Mem:           125G         17G        103G        1.1M        4.4G        106G
2023-07-29 14:35:36  Mem:           125G         17G        103G        1.1M        4.4G        106G
2023-07-29 14:35:39  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:42  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:45  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:48  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:51  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:54  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:35:59  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:36:02  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:36:05  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:36:09  Mem:           125G         17G        103G        1.1M        4.5G        106G
2023-07-29 14:36:12  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:15  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:18  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:21  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:25  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:28  Mem:           125G         17G        103G        1.1M        4.6G        106G
2023-07-29 14:36:31  Mem:           125G         17G        103G        1.1M        4.6G        106G
