Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             322.56      6732.83        14.95   13715653      30464
vda             322.67      6736.48        14.94   13743365      30476
vda             322.75      6739.02        14.92   13768753      30488
vda             322.87      6742.43        14.91   13796017      30512
vda             323.05      6747.18        14.89   13826041      30520
vda             323.17      6750.06        14.88   13852265      30544
vda             323.35      6754.89        14.86   13882505      30544
vda             323.49      6758.72        14.85   13910733      30556
vda             323.61      6762.21        14.82   13938193      30556
vda             323.79      6766.76        14.81   13967953      30568
vda             323.97      6771.75        14.79   13998637      30568
vda             324.14      6776.48        14.77   14028801      30580
vda             324.23      6779.12        14.75   14054597      30588
vda             324.38      6783.22        14.75   14083533      30616
vda             324.55      6788.22        14.73   14114329      30620
vda             324.72      6792.59        14.71   14143869      30632
vda             324.90      6797.51        14.69   14174505      30632
vda             325.07      6801.92        14.67   14204169      30644
vda             325.24      6806.73        14.65   14234705      30644
vda             325.41      6811.60        14.64   14265393      30656
vda             325.58      6816.30        14.62   14295761      30656
vda             325.78      6821.90        14.60   14327973      30668
vda             325.93      6826.12        14.58   14357385      30668
vda             326.09      6830.55        14.57   14387257      30680
vda             326.14      6832.72        14.55   14412397      30680
vda             326.21      6834.64        14.53   14437013      30700
vda             326.32      6837.92        14.52   14464461      30704
vda             326.52      6843.09        14.51   14497561      30744
vda             326.75      6849.05        14.51   14530797      30776
vda             326.88      6853.20        14.49   14560245      30776
vda             327.05      6857.83        14.48   14590721      30816
vda             327.24      6863.25        14.47   14622833      30820
vda             327.38      6866.83        14.45   14651133      30828
vda             327.57      6872.16        14.43   14683197      30832
vda             327.71      6876.00        14.42   14712105      30844
vda             327.91      6881.23        14.40   14744001      30844
vda             328.05      6884.99        14.38   14772785      30852
vda             328.15      6888.36        14.37   14800665      30880
vda             328.28      6892.14        14.38   14829545      30948
vda             328.35      6894.24        14.38   14854801      30980
vda             328.57      6900.02        14.39   14888041      31040
vda             328.70      6903.54        14.39   14916337      31096
vda             328.87      6908.11        14.38   14947013      31124
vda             329.02      6912.66        14.36   14977661      31124
vda             329.21      6918.04        14.35   15010141      31136
vda             329.37      6922.44        14.34   15040525      31148
vda             329.59      6928.43        14.32   15074321      31160
vda             329.75      6932.73        14.30   15104553      31160
vda             329.94      6937.62        14.29   15136085      31180
vda             330.10      6941.79        14.27   15166085      31180
vda             330.28      6946.67        14.26   15197637      31192
vda             330.44      6950.63        14.24   15227165      31192
vda             330.57      6954.42        14.23   15256393      31208
vda             330.69      6958.01        14.21   15285209      31208
vda             330.79      6961.17        14.19   15313113      31216
vda             330.89      6964.04        14.17   15340377      31220
vda             331.04      6968.23        14.15   15370517      31220
vda             331.14      6971.16        14.14   15397969      31232
vda             331.27      6974.58        14.12   15426513      31232
vda             331.48      6980.31        14.11   15460329      31252
vda             331.69      6985.70        14.09   15493313      31252
vda             331.90      6991.37        14.08   15528261      31280
vda             332.05      6995.76        14.06   15559061      31280
vda             332.23      7000.08        14.05   15589957      31292
vda             332.39      7004.00        14.04   15619749      31308
vda             332.57      7008.58        14.02   15651065      31308
vda             332.76      7013.21        14.00   15682525      31316
vda             332.97      7018.76        13.99   15716045      31320
vda             333.08      7022.12        13.97   15744657      31320
vda             333.19      7025.42        13.95   15774101      31332
vda             333.34      7029.41        13.94   15804229      31340
vda             333.43      7032.11        13.93   15831469      31360
vda             333.52      7034.79        13.91   15858665      31368
vda             333.61      7037.37        13.90   15885597      31376
